     Angle,       PSD,
   9.99821,        29,
   10.0083,        40,
   10.0185,        31,
   10.0286,        30,
   10.0387,        36,
   10.0488,        38,
   10.0589,        36,
    10.069,        43,
   10.0792,        30,
   10.0893,        38,
   10.0994,        36,
   10.1095,        37,
   10.1196,        41,
   10.1298,        29,
   10.1399,        31,
     10.15,        31,
   10.1601,        49,
   10.1702,        40,
   10.1803,        20,
   10.1905,        34,
   10.2006,        42,
   10.2107,        31,
   10.2208,        31,
   10.2309,        26,
   10.2411,        35,
   10.2512,        32,
   10.2613,        34,
   10.2714,        40,
   10.2815,        43,
   10.2917,        33,
   10.3018,        33,
   10.3119,        33,
    10.322,        36,
   10.3321,        38,
   10.3422,        25,
   10.3524,        45,
   10.3625,        34,
   10.3726,        29,
   10.3827,        38,
   10.3928,        33,
    10.403,        31,
   10.4131,        34,
   10.4232,        33,
   10.4333,        29,
   10.4434,        39,
   10.4535,        35,
   10.4637,        27,
   10.4738,        46,
   10.4839,        36,
    10.494,        33,
   10.5041,        28,
   10.5143,        27,
   10.5244,        38,
   10.5345,        31,
   10.5446,        24,
   10.5547,        43,
   10.5649,        37,
    10.575,        24,
   10.5851,        41,
   10.5952,        27,
   10.6053,        31,
   10.6154,        26,
   10.6256,        24,
   10.6357,        42,
   10.6458,        29,
   10.6559,        40,
    10.666,        33,
   10.6762,        41,
   10.6863,        39,
   10.6964,        21,
   10.7065,        38,
   10.7166,        26,
   10.7268,        30,
   10.7369,        36,
    10.747,        40,
   10.7571,        23,
   10.7672,        36,
   10.7773,        42,
   10.7875,        34,
   10.7976,        29,
   10.8077,        30,
   10.8178,        31,
   10.8279,        33,
   10.8381,        27,
   10.8482,        21,
   10.8583,        46,
   10.8684,        30,
   10.8785,        44,
   10.8886,        21,
   10.8988,        45,
   10.9089,        40,
    10.919,        20,
   10.9291,        34,
   10.9392,        36,
   10.9494,        35,
   10.9595,        46,
   10.9696,        33,
   10.9797,        41,
   10.9898,        34,
        11,        38,
   11.0101,        39,
   11.0202,        37,
   11.0303,        31,
   11.0404,        28,
   11.0505,        33,
   11.0607,        27,
   11.0708,        32,
   11.0809,        26,
    11.091,        43,
   11.1011,        38,
   11.1113,        29,
   11.1214,        36,
   11.1315,        29,
   11.1416,        32,
   11.1517,        40,
   11.1618,        16,
    11.172,        34,
   11.1821,        40,
   11.1922,        30,
   11.2023,        27,
   11.2124,        39,
   11.2226,        45,
   11.2327,        41,
   11.2428,        32,
   11.2529,        39,
    11.263,        47,
   11.2732,        29,
   11.2833,        37,
   11.2934,        26,
   11.3035,        31,
   11.3136,        27,
   11.3237,        30,
   11.3339,        37,
    11.344,        33,
   11.3541,        31,
   11.3642,        24,
   11.3743,        23,
   11.3845,        27,
   11.3946,        32,
   11.4047,        36,
   11.4148,        40,
   11.4249,        28,
   11.4351,        44,
   11.4452,        26,
   11.4553,        45,
   11.4654,        30,
   11.4755,        16,
   11.4856,        36,
   11.4958,        26,
   11.5059,        33,
    11.516,        55,
   11.5261,        34,
   11.5362,        32,
   11.5464,        36,
   11.5565,        35,
   11.5666,        25,
   11.5767,        44,
   11.5868,        21,
   11.5969,        35,
   11.6071,        41,
   11.6172,        32,
   11.6273,        31,
